layer,rsa_unc,rsa_all,base_unc,within,id_mle,id_twonn,alk,alc,null
0,0.13943256859243425,0.079860256432225,0.0876284230983372,0.1493612161303205,2.302960110401556,2.928904552519305,0.5030303030303029,0.28787878787878785,-0.017678948457582805
1,0.16342194277578562,0.11777659220682726,0.12436412713244578,0.2871903656748005,5.964176908000201,5.12817728443109,0.7969696969696969,0.8303030303030302,0.0031638154467149783
2,0.24859002738521965,0.23362559121519072,0.15513106506579558,0.3511934081869983,6.509635494207055,5.223895596659908,0.9606060606060605,0.9696969696969696,1.844889462249914e-05
3,0.29283358203414017,0.239951802638108,0.22467044879112788,0.4412400007225607,6.7055511561209045,5.535664846535348,0.9575757575757575,0.9666666666666666,-4.939014671777721e-05
4,0.32856177294321176,0.31722411055688116,0.25906372611810485,0.5625348696925982,6.428653485703965,6.2235047667942,0.8909090909090909,0.9696969696969696,-0.0025171847873936095
5,0.33327821767534177,0.36615624410881625,0.2637386229462132,0.6062601498436182,6.038952327628829,6.0129278567518485,0.8878787878787877,0.9757575757575757,-0.0018503360585614686
6,0.3397026987760563,0.35166813731905644,0.2627993975229315,0.5970089616954507,6.07225109458998,5.991408315976439,0.909090909090909,0.9696969696969696,-0.00093875529330185
7,0.3447460703993557,0.3446717070401433,0.26866470531921655,0.6023368494901052,6.173143146062822,6.563409209926366,0.903030303030303,0.9515151515151514,-0.0011863354964422553
8,0.34477565821482536,0.3342971442838259,0.27763851409834406,0.5964602242533182,6.191444401294151,6.6487762860110955,0.9242424242424241,0.9696969696969696,-0.0026933081534303367
9,0.3408821996962106,0.3099362166338944,0.26715490494983696,0.5916650935159063,6.28757352063849,7.154884595554682,0.906060606060606,0.9515151515151514,-0.0007352522056032799
10,0.33545576217697276,0.28841550304835845,0.2603909906630485,0.5840221157584313,6.249324616662389,7.045975537328601,0.9454545454545454,0.9606060606060605,0.0012844086189536773
11,0.33039838242067116,0.2739280790344153,0.26321759071906864,0.5785540230926536,6.258395282672481,7.263924856494189,0.9333333333333333,0.9303030303030303,0.0027258538538279297
12,0.3336213675568476,0.270992187924071,0.26821971006287765,0.5906397840633489,6.085988115247138,6.932551335340527,0.906060606060606,0.9363636363636363,0.004003078713977097
13,0.32942368911000186,0.26619698935610786,0.2579331317628434,0.5976267954346718,5.916376653717377,6.905586075093016,0.8939393939393938,0.9545454545454545,0.004211357679109096
14,0.2749570727556136,0.1797740430902899,0.22338593927971645,0.5796933200202303,5.729413371120587,7.381918251296082,0.8909090909090909,0.9212121212121211,0.0053164234650263115
15,0.2511730133840685,0.1472116232929775,0.20234611143935582,0.5710446483518894,5.363686646322881,6.91569428576323,0.815151515151515,0.9212121212121211,0.004031338941416701
16,0.28953930161361474,0.20215631752129543,0.2386859840065497,0.579163242838758,5.6947588324009715,7.964455736879559,0.8696969696969696,0.8939393939393938,0.0015107297562497023
17,0.2893012109235385,0.2101082631958632,0.23314926186410778,0.577024281250957,5.483491763715329,7.440946279153229,0.6515151515151514,0.9272727272727272,0.0008368880997204108
18,0.2885261592122231,0.21224443778310972,0.23287251274215215,0.5851804065069197,5.268363437342476,7.253510132098526,0.8757575757575755,0.8757575757575757,0.00043018068053496134
19,0.29463722618635824,0.2443455652791446,0.23750691015709277,0.5917898517192743,5.191390389576361,7.077658781106278,0.8666666666666666,0.8363636363636363,-0.0003788970776666551
20,0.2962307278924058,0.2451274190846977,0.2360142156730446,0.6009778520877131,4.998388192549202,6.947008252005066,0.8757575757575756,0.7575757575757575,-0.0004653284659355153
21,0.30880900000358846,0.24552571461480835,0.24165497738772693,0.617863657910996,4.853352062010231,7.050904454813329,0.8878787878787878,0.8424242424242423,0.001510076692335332
22,0.32465413062451093,0.2740263206456436,0.2443383335283416,0.6174343307230281,4.854158671387855,7.129089810999892,0.8878787878787878,0.8999999999999999,0.001457574748572361
23,0.3293387498556596,0.27509697898474,0.25018123537395204,0.619634345123976,4.793949085051047,6.7963956429771955,0.9030303030303028,0.8606060606060605,0.002143469614502929
24,0.32788491733759334,0.2753829646493906,0.2517751359966324,0.6223499841060983,4.8089322168708915,6.689024959398867,0.9272727272727272,0.8575757575757574,0.0028477248913246233
25,0.32990460130451793,0.2777769885731608,0.24916676833095136,0.6222330068071151,4.847432347495081,6.63520465040276,0.9242424242424242,0.8363636363636363,0.00261328225411556
26,0.32673082622376887,0.27668905279297157,0.24558639197974522,0.615562123619088,4.82570746871397,6.411681518521582,0.9303030303030303,0.7818181818181817,0.004078391322143743
27,0.3243901622783428,0.2820313682650513,0.24807880508627841,0.612360606774405,4.837013753010639,6.495670399384341,0.903030303030303,0.8060606060606059,0.004750241970270701
28,0.32201102539972926,0.2781736659308352,0.24496233364758777,0.614269282927008,4.886035365381594,6.320039944819057,0.8909090909090909,0.8727272727272727,0.005612774547553658
29,0.31664026785973864,0.2708439417100566,0.2442110600854735,0.6118275596119116,4.944045459152711,6.422472906376147,0.9212121212121211,0.8848484848484848,0.009608127503116532
30,0.3153204185936549,0.2684109924891984,0.2456471168078628,0.6011176101337926,5.085179098802952,6.4994457643813455,0.8787878787878787,0.8151515151515152,0.009288342645319326
31,0.30791637637995634,0.2592135542806484,0.2569950569033343,0.5776504441314719,5.433486283203063,6.867850749346479,0.8848484848484848,0.812121212121212,0.012846484886604434
