layer,raw_all,raw_unc,part_all,part_unc,orth_unc
0,0.0802876267044696,0.14723483152743003,0.031985596543023694,0.07983793684821044,0.39648719291430107
4,0.3320801863341934,0.3393262695943858,0.30457309207643424,0.29292313367659106,0.39692057893501487
5,0.3745001381450294,0.33360477894582324,0.35210658859969973,0.29209858316222065,0.3326174708210613
6,0.34273066845998146,0.3337487039900425,0.31850433803635125,0.2920973513843617,0.33425809065984763
8,0.33186182563334604,0.34166192818793345,0.30749362223489396,0.3020959779288128,0.3189314473070715
10,0.288724268848788,0.3411836835555471,0.2577004020052538,0.2958944147505068,0.3845911989604517
14,0.18591909976829232,0.28501546803446975,0.1369548047352334,0.2240162001271949,0.49396900164410135
15,0.13827032359048175,0.23573945907352814,0.08103871368740055,0.16439944705061332,0.5107999814071538
20,0.26411596131902204,0.3203261664370593,0.22800031454492511,0.2683554615322822,0.4431905023881087
24,0.27372608388275055,0.33757535558850404,0.23998730007991498,0.289491679556706,0.41821764457726224
28,0.2972975881049036,0.3273130925119715,0.2661932757521547,0.2792159734994201,0.4017351418798312
31,0.2568714394942442,0.30716586547849245,0.22280381300271943,0.2573223183016639,0.39595004459687805
