name,smiles,cls,series,series_index,n_carbons,molecular_weight,formula,n_tokens,n_tokens_final,multiword,canonical_smiles
cholesterol,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,alcohol,,,27,386.66400000000016,C27H46O,1,1,False,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
undecanol,CCCCCCCCCCCO,alcohol,,,11,172.31199999999998,C11H24O,3,3,False,CCCCCCCCCCCO
inositol,OC1C(O)C(O)C(O)C(O)C1O,alcohol,,,6,180.156,C6H12O6,3,3,False,OC1C(O)C(O)C(O)C(O)C1O
acetone,CC(C)=O,ketone,,,3,58.080000000000005,C3H6O,2,2,False,CC(C)=O
butanone,CCC(C)=O,ketone,,,4,72.10699999999999,C4H8O,3,3,False,CCC(C)=O
camphor,CC1(C)C2CCC1(C)C(=O)C2,ketone,,,10,152.237,C10H16O,3,3,False,CC12CCC(CC1=O)C2(C)C
diacetyl,CC(=O)C(C)=O,ketone,,,4,86.08999999999999,C4H6O2,3,3,False,CC(=O)C(C)=O
mesityl oxide,CC(C)=CC(C)=O,ketone,,,6,98.145,C6H10O,4,1,True,CC(=O)C=C(C)C
carvone,CC(=C)C1CC=C(C)C(=O)C1,ketone,,,10,150.22099999999998,C10H14O,3,3,False,C=C(C)C1CC=C(C)C(=O)C1
menthone,CC(C)C1CCC(C)CC1=O,ketone,,,10,154.253,C10H18O,2,2,False,CC1CCC(C(C)C)C(=O)C1
pentanone,CCCC(C)=O,ketone,,,5,86.13399999999999,C5H10O,3,3,False,CCCC(C)=O
hexanone,CCCCC(C)=O,ketone,,,6,100.16099999999999,C6H12O,3,3,False,CCCCC(C)=O
octanone,CCCCCCC(C)=O,ketone,,,8,128.215,C8H16O,3,3,False,CCCCCCC(C)=O
nonanone,CCCCCCCC(C)=O,ketone,,,9,142.242,C9H18O,3,3,False,CCCCCCCC(C)=O
decanone,CCCCCCCCC(C)=O,ketone,,,10,156.269,C10H20O,3,3,False,CCCCCCCCC(C)=O
quinone,O=C1C=CC(=O)C=C1,ketone,,,6,108.09599999999999,C6H4O2,3,3,False,O=C1C=CC(=O)C=C1
acetoin,CC(O)C(C)=O,ketone,,,4,88.106,C4H8O2,2,2,False,CC(=O)C(C)O
ionone,CC(=O)/C=C/C1=C(C)CCCC1(C)C,ketone,,,13,192.30199999999996,C13H20O,2,2,False,CC(=O)/C=C/C1=C(C)CCCC1(C)C
progesterone,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,ketone,,,21,314.46900000000005,C21H30O2,3,3,False,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
methyl vinyl ketone,C=CC(C)=O,ketone,,,4,70.091,C4H6O,4,2,True,C=CC(C)=O
dibenzyl ketone,O=C(Cc1ccccc1)Cc1ccccc1,ketone,,,15,210.27599999999998,C15H14O,5,2,True,O=C(Cc1ccccc1)Cc1ccccc1
tropinone,CN1C2CCC1CC(=O)C2,ketone,,,8,139.19799999999998,C8H13NO,3,3,False,CN1C2CCC1CC(=O)C2
pulegone,CC1CCC(=C(C)C)C(=O)C1,ketone,,,10,152.23699999999997,C10H16O,3,3,False,CC(C)=C1CCC(C)CC1=O
formaldehyde,C=O,aldehyde,,,1,30.026,CH2O,2,2,False,C=O
acetaldehyde,CC=O,aldehyde,,,2,44.053,C2H4O,3,3,False,CC=O
propionaldehyde,CCC=O,aldehyde,,,3,58.08,C3H6O,3,3,False,CCC=O
valeraldehyde,CCCCC=O,aldehyde,,,5,86.13399999999999,C5H10O,3,3,False,CCCCC=O
hexanal,CCCCCC=O,aldehyde,,,6,100.16099999999999,C6H12O,2,2,False,CCCCCC=O
heptanal,CCCCCCC=O,aldehyde,,,7,114.18799999999999,C7H14O,3,3,False,CCCCCCC=O
octanal,CCCCCCCC=O,aldehyde,,,8,128.215,C8H16O,2,2,False,CCCCCCCC=O
nonanal,CCCCCCCCC=O,aldehyde,,,9,142.242,C9H18O,2,2,False,CCCCCCCCC=O
decanal,CCCCCCCCCC=O,aldehyde,,,10,156.269,C10H20O,2,2,False,CCCCCCCCCC=O
benzaldehyde,O=Cc1ccccc1,aldehyde,,,7,106.12399999999997,C7H6O,3,3,False,O=Cc1ccccc1
vanillin,O=Cc1ccc(O)c(OC)c1,aldehyde,,,8,152.14899999999997,C8H8O3,2,2,False,COc1cc(C=O)ccc1O
citral,CC(C)=CCCC(C)=CC=O,aldehyde,,,10,152.237,C10H16O,2,2,False,CC(C)=CCCC(C)=CC=O
glyoxal,O=CC=O,aldehyde,,,2,58.036,C2H2O2,3,3,False,O=CC=O
acrolein,C=CC=O,aldehyde,,,3,56.064,C3H4O,3,3,False,C=CC=O
furfural,O=Cc1ccco1,aldehyde,,,5,96.08499999999998,C5H4O2,3,3,False,O=Cc1ccco1
undecanal,CCCCCCCCCCC=O,aldehyde,,,11,170.296,C11H22O,3,3,False,CCCCCCCCCCC=O
tolualdehyde,Cc1ccc(C=O)cc1,aldehyde,,,8,120.15099999999998,C8H8O,3,3,False,Cc1ccc(C=O)cc1
piperonal,O=Cc1ccc2OCOc2c1,aldehyde,,,8,150.13299999999998,C8H6O3,3,3,False,O=Cc1ccc2c(c1)OCO2
methyl acetate,COC(C)=O,ester,,,3,74.079,C3H6O2,3,2,True,COC(C)=O
ethyl acetate,CCOC(C)=O,ester,,,4,88.106,C4H8O2,4,2,True,CCOC(C)=O
propyl acetate,CCCOC(C)=O,ester,,,5,102.13299999999998,C5H10O2,4,2,True,CCCOC(C)=O
butyl acetate,CCCCOC(C)=O,ester,,,6,116.15999999999998,C6H12O2,4,2,True,CCCCOC(C)=O
pentyl acetate,CCCCCOC(C)=O,ester,,,7,130.18699999999998,C7H14O2,4,2,True,CCCCCOC(C)=O
isoamyl acetate,CC(C)CCOC(C)=O,ester,,,7,130.18699999999998,C7H14O2,5,2,True,CC(=O)OCCC(C)C
methyl formate,COC=O,ester,,,2,60.05200000000001,C2H4O2,3,2,True,COC=O
ethyl formate,CCOC=O,ester,,,3,74.07900000000001,C3H6O2,4,2,True,CCOC=O
benzyl acetate,CC(=O)OCc1ccccc1,ester,,,9,150.177,C9H10O2,4,2,True,CC(=O)OCc1ccccc1
vinyl acetate,C=COC(C)=O,ester,,,4,86.08999999999999,C4H6O2,3,2,True,C=COC(C)=O
ethyl propionate,CCC(=O)OCC,ester,,,5,102.133,C5H10O2,4,2,True,CCOC(=O)CC
triacetin,CC(=O)OCC(COC(C)=O)OC(C)=O,ester,,,9,218.20499999999998,C9H14O6,3,3,False,CC(=O)OCC(COC(C)=O)OC(C)=O
methyl propionate,CCC(=O)OC,ester,,,4,88.106,C4H8O2,3,2,True,CCC(=O)OC
methyl valerate,CCCCC(=O)OC,ester,,,6,116.15999999999998,C6H12O2,3,2,True,CCCCC(=O)OC
ethyl valerate,CCCCC(=O)OCC,ester,,,7,130.18699999999998,C7H14O2,4,2,True,CCCCC(=O)OCC
allyl acetate,C=CCOC(C)=O,ester,,,5,100.11699999999999,C5H8O2,4,2,True,C=CCOC(C)=O
butyl formate,CCCCOC=O,ester,,,5,102.13299999999998,C5H10O2,4,2,True,CCCCOC=O
propyl formate,CCCOC=O,ester,,,4,88.10599999999998,C4H8O2,4,2,True,CCCOC=O
ethyl lactate,CC(O)C(=O)OCC,ester,,,5,118.13199999999999,C5H10O3,4,2,True,CCOC(=O)C(C)O
methyl lactate,CC(O)C(=O)OC,ester,,,4,104.10499999999999,C4H8O3,3,2,True,COC(=O)C(C)O
methyl oleate,CCCCCCCCC=CCCCCCCCC(=O)OC,ester,,,19,296.49499999999995,C19H36O2,3,2,True,CCCCCCCCC=CCCCCCCCC(=O)OC
ethyl oleate,CCCCCCCCC=CCCCCCCCC(=O)OCC,ester,,,20,310.522,C20H38O2,4,2,True,CCCCCCCCC=CCCCCCCCC(=O)OCC
methylamine,CN,amine,,,1,31.058,CH5N,2,2,False,CN
ethylamine,CCN,amine,,,2,45.084999999999994,C2H7N,3,3,False,CCN
propylamine,CCCN,amine,,,3,59.11199999999999,C3H9N,3,3,False,CCCN
butylamine,CCCCN,amine,,,4,73.139,C4H11N,3,3,False,CCCCN
pentylamine,CCCCCN,amine,,,5,87.16600000000001,C5H13N,3,3,False,CCCCCN
hexylamine,CCCCCCN,amine,,,6,101.19300000000001,C6H15N,3,3,False,CCCCCCN
dimethylamine,CNC,amine,,,2,45.085,C2H7N,3,3,False,CNC
trimethylamine,CN(C)C,amine,,,3,59.111999999999995,C3H9N,3,3,False,CN(C)C
diethylamine,CCNCC,amine,,,4,73.139,C4H11N,3,3,False,CCNCC
triethylamine,CCN(CC)CC,amine,,,6,101.193,C6H15N,3,3,False,CCN(CC)CC
aniline,Nc1ccccc1,amine,,,6,93.12899999999999,C6H7N,2,2,False,Nc1ccccc1
benzylamine,NCc1ccccc1,amine,,,7,107.15599999999996,C7H9N,3,3,False,NCc1ccccc1
piperidine,C1CCNCC1,amine,,,5,85.15,C5H11N,3,3,False,C1CCNCC1
morpholine,C1COCCN1,amine,,,4,87.122,C4H9NO,2,2,False,C1COCCN1
cadaverine,NCCCCCN,amine,,,5,102.18100000000001,C5H14N2,3,3,False,NCCCCCN
histamine,NCCc1c[nH]cn1,amine,,,5,111.14799999999998,C5H9N3,2,2,False,NCCc1c[nH]cn1
dopamine,NCCc1ccc(O)c(O)c1,amine,,,8,153.18099999999998,C8H11NO2,1,1,False,NCCc1ccc(O)c(O)c1
serotonin,NCCc1c[nH]c2ccc(O)cc12,amine,,,10,176.21899999999997,C10H12N2O,1,1,False,NCCc1c[nH]c2ccc(O)cc12
ethanolamine,NCCO,amine,,,2,61.083999999999996,C2H7NO,2,2,False,NCCO
toluidine,Cc1ccc(N)cc1,amine,,,7,107.156,C7H9N,3,3,False,Cc1ccc(N)cc1
melamine,Nc1nc(N)nc(N)n1,amine,,,3,126.12300000000002,C3H6N6,2,2,False,Nc1nc(N)nc(N)n1
adenine,Nc1ncnc2[nH]cnc12,amine,,,5,135.13,C5H5N5,2,2,False,Nc1ncnc2[nH]cnc12
guanine,Nc1nc2[nH]cnc2c(=O)[nH]1,amine,,,5,151.129,C5H5N5O,2,2,False,Nc1nc2[nH]cnc2c(=O)[nH]1
cytosine,Nc1cc[nH]c(=O)n1,amine,,,4,111.104,C4H5N3O,3,3,False,Nc1cc[nH]c(=O)n1
creatine,CN(CC(O)=O)C(N)=N,amine,,,4,131.135,C4H9N3O2,2,2,False,CN(CC(=O)O)C(=N)N
choline,C[N+](C)(C)CCO,amine,,,5,104.17299999999999,C5H14NO+,2,2,False,C[N+](C)(C)CCO
taurine,NCCS(O)(=O)=O,amine,,,2,125.14899999999997,C2H7NO3S,3,3,False,NCCS(=O)(=O)O
piperazine,C1CNCCN1,amine,,,4,86.138,C4H10N2,3,3,False,C1CNCCN1
azepane,C1CCCNCC1,amine,,,6,99.17699999999999,C6H13N,3,3,False,C1CCCNCC1
azetidine,C1CNC1,amine,,,3,57.096,C3H7N,3,3,False,C1CNC1
aziridine,C1CN1,amine,,,2,43.068999999999996,C2H5N,3,3,False,C1CN1
guanidine,NC(N)=N,amine,,,1,59.071999999999996,CH5N3,3,3,False,N=C(N)N
tropane,CN1C2CCC1CCC2,amine,,,8,125.215,C8H15N,2,2,False,CN1C2CCCC1CC2
acetamide,CC(N)=O,amine,,,2,59.068,C2H5NO,2,2,False,CC(N)=O
propionamide,CCC(N)=O,amine,,,3,73.09499999999998,C3H7NO,3,3,False,CCC(N)=O
thiourea,NC(N)=S,amine,,,1,76.124,CH4N2S,3,3,False,NC(N)=S
barbituric acid,O=C1CC(=O)NC(=O)N1,amine,,,4,128.087,C4H4N2O3,5,1,True,O=C1CC(=O)NC(=O)N1
uric acid,O=C1NC2=C(N1)C(=O)NC(=O)N2,amine,,,5,168.112,C5H4N4O3,3,1,True,O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1
benzene,c1ccccc1,aromatic,,,6,78.11399999999999,C6H6,2,2,False,c1ccccc1
toluene,Cc1ccccc1,aromatic,,,7,92.14099999999999,C7H8,3,3,False,Cc1ccccc1
xylene,Cc1ccccc1C,aromatic,,,8,106.16799999999999,C8H10,2,2,False,Cc1ccccc1C
styrene,C=Cc1ccccc1,aromatic,,,8,104.15199999999997,C8H8,2,2,False,C=Cc1ccccc1
anthracene,c1ccc2cc3ccccc3cc2c1,aromatic,,,14,178.23399999999995,C14H10,3,3,False,c1ccc2cc3ccccc3cc2c1
phenanthrene,c1ccc2c(c1)ccc1ccccc12,aromatic,,,14,178.23399999999998,C14H10,3,3,False,c1ccc2c(c1)ccc1ccccc12
phenol,Oc1ccccc1,aromatic,,,6,94.11299999999999,C6H6O,2,2,False,Oc1ccccc1
cresol,Cc1ccc(O)cc1,aromatic,,,7,108.13999999999999,C7H8O,2,2,False,Cc1ccc(O)cc1
catechol,Oc1ccccc1O,aromatic,,,6,110.11199999999998,C6H6O2,3,3,False,Oc1ccccc1O
hydroquinone,Oc1ccc(O)cc1,aromatic,,,6,110.11199999999998,C6H6O2,3,3,False,Oc1ccc(O)cc1
benzoic acid,OC(=O)c1ccccc1,aromatic,,,7,122.12299999999996,C7H6O2,4,1,True,O=C(O)c1ccccc1
salicylic acid,OC(=O)c1ccccc1O,aromatic,,,7,138.12199999999999,C7H6O3,4,1,True,O=C(O)c1ccccc1O
aspirin,CC(=O)Oc1ccccc1C(O)=O,aromatic,,,9,180.15899999999996,C9H8O4,2,2,False,CC(=O)Oc1ccccc1C(=O)O
mesitylene,Cc1cc(C)cc(C)c1,aromatic,,,9,120.19499999999998,C9H12,3,3,False,Cc1cc(C)cc(C)c1
cumene,CC(C)c1ccccc1,aromatic,,,9,120.19499999999995,C9H12,2,2,False,CC(C)c1ccccc1
biphenyl,c1ccc(-c2ccccc2)cc1,aromatic,,,12,154.21199999999996,C12H10,3,3,False,c1ccc(-c2ccccc2)cc1
indole,c1ccc2[nH]ccc2c1,aromatic,,,8,117.15099999999997,C8H7N,2,2,False,c1ccc2[nH]ccc2c1
quinoline,c1ccc2ncccc2c1,aromatic,,,9,129.16199999999998,C9H7N,3,3,False,c1ccc2ncccc2c1
pyridine,c1ccncc1,aromatic,,,5,79.10199999999998,C5H5N,3,3,False,c1ccncc1
furan,c1ccoc1,aromatic,,,4,68.07499999999999,C4H4O,2,2,False,c1ccoc1
thiophene,c1ccsc1,aromatic,,,4,84.14299999999999,C4H4S,3,3,False,c1ccsc1
pyrrole,c1cc[nH]c1,aromatic,,,4,67.091,C4H5N,3,3,False,c1cc[nH]c1
imidazole,c1c[nH]cn1,aromatic,,,3,68.079,C3H4N2,3,3,False,c1c[nH]cn1
pyrimidine,c1cncnc1,aromatic,,,4,80.08999999999999,C4H4N2,3,3,False,c1cncnc1
pyrazine,c1cnccn1,aromatic,,,4,80.09,C4H4N2,3,3,False,c1cnccn1
purine,c1ncc2[nH]cnc2n1,aromatic,,,5,120.115,C5H4N4,2,2,False,c1ncc2[nH]cnc2n1
uracil,O=c1cc[nH]c(=O)[nH]1,aromatic,,,4,112.088,C4H4N2O2,3,3,False,O=c1cc[nH]c(=O)[nH]1
thymine,Cc1c[nH]c(=O)[nH]c1=O,aromatic,,,5,126.115,C5H6N2O2,3,3,False,Cc1c[nH]c(=O)[nH]c1=O
thymol,Cc1ccc(C(C)C)cc1O,aromatic,,,10,150.221,C10H14O,3,3,False,Cc1ccc(C(C)C)cc1O
eugenol,C=CCc1ccc(O)c(OC)c1,aromatic,,,10,164.20399999999995,C10H12O2,3,3,False,C=CCc1ccc(O)c(OC)c1
