name,smiles,cls,series,series_index,n_carbons,molecular_weight,formula,n_tokens,n_tokens_final,multiword,canonical_smiles
stearic acid,CCCCCCCCCCCCCCCCCC(O)=O,carboxylic_acid,,,18,284.4839999999999,C18H36O2,4,1,True,CCCCCCCCCCCCCCCCCC(=O)O
palmitic acid,CCCCCCCCCCCCCCCC(O)=O,carboxylic_acid,,,16,256.42999999999995,C16H32O2,4,1,True,CCCCCCCCCCCCCCCC(=O)O
lauric acid,CCCCCCCCCCCC(O)=O,carboxylic_acid,,,12,200.32199999999997,C12H24O2,4,1,True,CCCCCCCCCCCC(=O)O
myristic acid,CCCCCCCCCCCCCC(O)=O,carboxylic_acid,,,14,228.37599999999995,C14H28O2,4,1,True,CCCCCCCCCCCCCC(=O)O
glycolic acid,OCC(O)=O,carboxylic_acid,,,2,76.051,C2H4O3,4,1,True,O=C(O)CO
pyruvic acid,CC(=O)C(O)=O,carboxylic_acid,,,3,88.06199999999998,C3H4O3,4,1,True,CC(=O)C(=O)O
fumaric acid,OC(=O)/C=C/C(O)=O,carboxylic_acid,,,4,116.07199999999999,C4H4O4,4,1,True,O=C(O)/C=C/C(=O)O
mandelic acid,OC(c1ccccc1)C(O)=O,carboxylic_acid,,,8,152.14899999999997,C8H8O3,3,1,True,O=C(O)C(O)c1ccccc1
benzilic acid,OC(c1ccccc1)(c1ccccc1)C(O)=O,carboxylic_acid,,,14,228.24699999999999,C14H12O3,4,1,True,O=C(O)C(O)(c1ccccc1)c1ccccc1
cinnamic acid,OC(=O)/C=C/c1ccccc1,carboxylic_acid,,,9,148.161,C9H8O2,4,1,True,O=C(O)/C=C/c1ccccc1
phthalic acid,OC(=O)c1ccccc1C(O)=O,carboxylic_acid,,,8,166.13199999999998,C8H6O4,4,1,True,O=C(O)c1ccccc1C(=O)O
isophthalic acid,OC(=O)c1cccc(C(O)=O)c1,carboxylic_acid,,,8,166.13199999999998,C8H6O4,5,1,True,O=C(O)c1cccc(C(=O)O)c1
gallic acid,OC(=O)c1cc(O)c(O)c(O)c1,carboxylic_acid,,,7,170.11999999999998,C7H6O5,3,1,True,O=C(O)c1cc(O)c(O)c(O)c1
caffeic acid,OC(=O)/C=C/c1ccc(O)c(O)c1,carboxylic_acid,,,9,180.159,C9H8O4,3,1,True,O=C(O)/C=C/c1ccc(O)c(O)c1
ferulic acid,COc1cc(/C=C/C(O)=O)ccc1O,carboxylic_acid,,,10,194.18599999999998,C10H10O4,4,1,True,COc1cc(/C=C/C(=O)O)ccc1O
sinapic acid,COc1cc(/C=C/C(O)=O)cc(OC)c1O,carboxylic_acid,,,11,224.21199999999996,C11H12O5,4,1,True,COc1cc(/C=C/C(=O)O)cc(OC)c1O
itaconic acid,OC(=O)CC(=C)C(O)=O,carboxylic_acid,,,5,130.099,C5H6O4,4,1,True,C=C(CC(=O)O)C(=O)O
sorbic acid,CC=CC=CC(O)=O,carboxylic_acid,,,6,112.12799999999999,C6H8O2,3,1,True,CC=CC=CC(=O)O
levulinic acid,CC(=O)CCC(O)=O,carboxylic_acid,,,5,116.11599999999999,C5H8O3,4,1,True,CC(=O)CCC(=O)O
azelaic acid,OC(=O)CCCCCCCC(O)=O,carboxylic_acid,,,9,188.22299999999998,C9H16O4,4,1,True,O=C(O)CCCCCCCC(=O)O
sebacic acid,OC(=O)CCCCCCCCC(O)=O,carboxylic_acid,,,10,202.24999999999997,C10H18O4,4,1,True,O=C(O)CCCCCCCCC(=O)O
pimelic acid,OC(=O)CCCCCC(O)=O,carboxylic_acid,,,7,160.169,C7H12O4,4,1,True,O=C(O)CCCCCC(=O)O
suberic acid,OC(=O)CCCCCCC(O)=O,carboxylic_acid,,,8,174.196,C8H14O4,3,1,True,O=C(O)CCCCCCC(=O)O
linoleic acid,CCCCCC=CCC=CCCCCCCCC(O)=O,carboxylic_acid,,,18,280.4519999999999,C18H32O2,4,1,True,CCCCCC=CCC=CCCCCCCCC(=O)O
linolenic acid,CCC=CCC=CCC=CCCCCCCCC(O)=O,carboxylic_acid,,,18,278.4359999999999,C18H30O2,4,1,True,CCC=CCC=CCC=CCCCCCCCC(=O)O
behenic acid,CCCCCCCCCCCCCCCCCCCCCC(O)=O,carboxylic_acid,,,22,340.59200000000004,C22H44O2,3,1,True,CCCCCCCCCCCCCCCCCCCCCC(=O)O
erucic acid,CCCCCCCCC=CCCCCCCCCCCCC(O)=O,carboxylic_acid,,,22,338.5760000000001,C22H42O2,4,1,True,CCCCCCCCC=CCCCCCCCCCCCC(=O)O
orotic acid,OC(=O)c1cc(=O)[nH]c(=O)[nH]1,carboxylic_acid,,,5,156.097,C5H4N2O4,3,1,True,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
kojic acid,OCC1=CC(=O)C(O)=CO1,carboxylic_acid,,,6,142.10999999999999,C6H6O4,4,1,True,O=c1cc(CO)occ1O
water,O,inorganic,,,0,18.015,H2O,1,1,False,O
ammonia,N,inorganic,,,0,17.031,H3N,1,1,False,N
carbon dioxide,O=C=O,inorganic,,,1,44.009,CO2,2,1,True,O=C=O
carbon monoxide,[C-]#[O+],inorganic,,,1,28.009999999999998,CO,3,2,True,[C-]#[O+]
sodium chloride,[Na+].[Cl-],inorganic,,,0,58.443,ClNa,2,1,True,[Cl-].[Na+]
sulfuric acid,OS(=O)(=O)O,inorganic,,,0,98.07899999999998,H2O4S,3,1,True,O=S(=O)(O)O
nitric acid,O[N+](=O)[O-],inorganic,,,0,63.01200000000001,HNO3,3,1,True,O=[N+]([O-])O
hydrochloric acid,Cl,inorganic,,,0,36.461000000000006,HCl,4,1,True,Cl
potassium chloride,[K+].[Cl-],inorganic,,,0,74.551,ClK,2,1,True,[Cl-].[K+]
hydrogen peroxide,OO,inorganic,,,0,34.014,H2O2,3,2,True,OO
ozone,[O-][O+]=O,inorganic,,,0,47.997,O3,1,1,False,O=[O+][O-]
sulfur dioxide,O=S=O,inorganic,,,0,64.065,O2S,2,1,True,O=S=O
nitrous oxide,[N-]=[N+]=O,inorganic,,,0,44.013,N2O,3,1,True,[N-]=[N+]=O
hydrogen sulfide,S,inorganic,,,0,34.083,H2S,3,2,True,S
phosphoric acid,OP(O)(O)=O,inorganic,,,0,97.99399999999999,H3O4P,3,1,True,O=P(O)(O)O
calcium carbonate,[Ca+2].[O-]C([O-])=O,inorganic,,,1,100.086,CCaO3,2,1,True,O=C([O-])[O-].[Ca+2]
glucose,OCC1OC(O)C(O)C(O)C1O,other,,,6,180.156,C6H12O6,1,1,False,OCC1OC(O)C(O)C(O)C1O
caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,other,,,8,194.194,C8H10N4O2,1,1,False,Cn1c(=O)c2c(ncn2C)n(C)c1=O
nicotine,CN1CCCC1c1cccnc1,other,,,10,162.236,C10H14N2,1,1,False,CN1CCCC1c1cccnc1
urea,NC(N)=O,other,,,1,60.056,CH4N2O,2,2,False,NC(N)=O
dioxane,C1COCCO1,other,,,4,88.106,C4H8O2,3,3,False,C1COCCO1
diethyl ether,CCOCC,other,,,4,74.123,C4H10O,3,1,True,CCOCC
formamide,NC=O,other,,,1,45.041,CH3NO,2,2,False,NC=O
glycine,NCC(O)=O,other,,,2,75.067,C2H5NO2,2,2,False,NCC(=O)O
alanine,CC(N)C(O)=O,other,,,3,89.09399999999998,C3H7NO2,2,2,False,CC(N)C(=O)O
ascorbic acid,OCC(O)C1OC(=O)C(O)=C1O,other,,,6,176.124,C6H8O6,4,1,True,O=C1OC(C(O)CO)C(O)=C1O
ethylene oxide,C1CO1,other,,,2,44.053,C2H4O,3,1,True,C1CO1
propylene oxide,CC1CO1,other,,,3,58.08,C3H6O,3,1,True,CC1CO1
ibuprofen,CC(C)Cc1ccc(C(C)C(O)=O)cc1,other,,,13,206.28499999999997,C13H18O2,3,3,False,CC(C)Cc1ccc(C(C)C(=O)O)cc1
adrenaline,CNCC(O)c1ccc(O)c(O)c1,other,,,9,183.207,C9H13NO3,1,1,False,CNCC(O)c1ccc(O)c(O)c1
testosterone,CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2O,other,,,19,288.431,C19H28O2,1,1,False,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12
valine,CC(C)C(N)C(O)=O,other,,,5,117.14799999999998,C5H11NO2,2,2,False,CC(C)C(N)C(=O)O
leucine,CC(C)CC(N)C(O)=O,other,,,6,131.17499999999998,C6H13NO2,3,3,False,CC(C)CC(N)C(=O)O
proline,OC(=O)C1CCCN1,other,,,5,115.13200000000002,C5H9NO2,2,2,False,O=C(O)C1CCCN1
serine,OCC(N)C(O)=O,other,,,3,105.09299999999999,C3H7NO3,2,2,False,NC(CO)C(=O)O
threonine,CC(O)C(N)C(O)=O,other,,,4,119.11999999999999,C4H9NO3,3,3,False,CC(O)C(N)C(=O)O
cysteine,SCC(N)C(O)=O,other,,,3,121.16099999999999,C3H7NO2S,3,3,False,NC(CS)C(=O)O
methionine,CSCCC(N)C(O)=O,other,,,5,149.215,C5H11NO2S,3,3,False,CSCCC(N)C(=O)O
lysine,NCCCCC(N)C(O)=O,other,,,6,146.19,C6H14N2O2,2,2,False,NCCCCC(N)C(=O)O
arginine,NC(=N)NCCCC(N)C(O)=O,other,,,6,174.204,C6H14N4O2,2,2,False,N=C(N)NCCCC(N)C(=O)O
glutamic acid,OC(=O)CCC(N)C(O)=O,other,,,5,147.13000000000002,C5H9NO4,3,1,True,NC(CCC(=O)O)C(=O)O
fructose,OCC(O)C(O)C(O)C(=O)CO,other,,,6,180.15599999999998,C6H12O6,2,2,False,O=C(CO)C(O)C(O)C(O)CO
ribose,OCC(O)C(O)C(O)C=O,other,,,5,150.13,C5H10O5,2,2,False,O=CC(O)C(O)C(O)CO
estradiol,CC12CCC3C(CCc4cc(O)ccc34)C1CCC2O,other,,,18,272.388,C18H24O2,3,3,False,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O
dimethyl sulfide,CSC,other,,,2,62.137,C2H6S,4,2,True,CSC
diethyl sulfide,CCSCC,other,,,4,90.191,C4H10S,4,2,True,CCSCC
sulfolane,O=S1(=O)CCCC1,other,,,4,120.173,C4H8O2S,3,3,False,O=S1(=O)CCCC1
isoprene,CC(=C)C=C,alkene,,,5,68.11900000000001,C5H8,3,3,False,C=CC(=C)C
butadiene,C=CC=C,alkene,,,4,54.09199999999999,C4H6,3,3,False,C=CC=C
acetylene,C#C,alkene,,,2,26.037999999999997,C2H2,3,3,False,C#C
propyne,C#CC,alkene,,,3,40.065,C3H4,2,2,False,C#CC
limonene,CC(=C)C1CCC(C)=CC1,alkene,,,10,136.238,C10H16,3,3,False,C=C(C)C1CC=C(C)CC1
pinene,CC1=CCC2CC1C2(C)C,alkene,,,10,136.238,C10H16,2,2,False,CC1=CCC2CC1C2(C)C
